RMSE,MAE,R2,MAPE%,RMSLE,SMAPE%,store_nbr,group,family
168.7971,55.6645,0.9485,8651100322.7471,0.6143,54.3552,1.0,store,
180.0817,58.6856,0.9711,10462386441.3511,0.5374,45.8276,2.0,store,
405.9258,120.4361,0.9766,39598712365.9325,0.5038,31.321,3.0,store,
160.8587,54.1258,0.9716,7413353167.5049,0.5463,49.137,4.0,store,
108.8367,37.8612,0.9749,6409399099.7046,0.5371,45.3132,5.0,store,
204.9673,65.2521,0.975,14367117562.2454,0.5501,49.2867,6.0,store,
210.2767,70.9485,0.978,12630705190.5672,0.5386,44.0569,7.0,store,
227.2619,75.1121,0.979,16684881391.2893,0.5153,37.9265,8.0,store,
363.7099,77.586,0.9425,18282023789.4979,0.5709,48.0478,9.0,store,
99.7329,30.5637,0.965,8692718305.0508,0.6491,76.8094,10.0,store,
309.3538,81.1046,0.9627,21656909945.839,0.5806,50.1501,11.0,store,
118.9398,34.517,0.9629,8063751818.4972,0.6264,67.9028,12.0,store,
114.1427,34.2026,0.9617,9146703531.4919,0.6561,74.9645,13.0,store,
174.6091,46.5234,0.9257,9439255734.4974,0.6468,73.2177,14.0,store,
100.0414,34.2314,0.9732,8225537533.107,0.6147,63.2901,15.0,store,
240.7074,46.0509,0.7959,7860455276.1468,0.6769,79.0672,16.0,store,
213.101,60.1088,0.9623,10454017344.652,0.5949,60.4488,17.0,store,
173.8254,53.033,0.9525,10847399074.6,0.5934,52.8162,18.0,store,
145.404,43.0711,0.9655,10262553621.6651,0.6361,65.3183,19.0,store,
283.3452,83.1227,0.949,12504957721.147,0.6015,56.1643,20.0,store,
224.1108,64.8987,0.9475,11439803147.2326,0.6143,56.0357,21.0,store,
102.3299,34.2202,0.9604,7790491197.9011,0.6332,69.614,22.0,store,
103.61,38.8414,0.9631,7897867789.308,0.5993,59.6124,23.0,store,
181.6405,60.4669,0.9764,10696466510.3215,0.5478,45.5429,24.0,store,
268.9422,73.2487,0.8722,3647874914.2106,0.5913,61.2885,25.0,store,
245.0454,43.434,0.7071,6747020189.8987,0.6492,70.527,26.0,store,
166.1389,56.9794,0.9744,10870949760.7954,0.5584,45.9442,27.0,store,
239.9485,77.131,0.9535,10992256561.5565,0.62,58.9005,28.0,store,
165.2852,57.3041,0.9661,9475976138.277,0.5954,56.6908,29.0,store,
216.0891,45.8589,0.7823,6635226537.5781,0.6728,75.551,30.0,store,
261.8439,64.8525,0.9337,17394598376.1503,0.6168,55.7633,31.0,store,
399.2899,55.8748,0.5083,8374655058.3267,0.715,90.0067,32.0,store,
214.2157,54.5344,0.9118,11168872546.754,0.6612,71.4684,33.0,store,
135.1562,44.2482,0.9752,8229421215.2004,0.591,51.4619,34.0,store,
145.1202,36.9924,0.8924,9400623453.37,0.6891,86.5344,35.0,store,
180.9191,54.3595,0.9609,10148636429.4787,0.6503,66.8523,36.0,store,
148.6322,50.994,0.9758,10327788711.1869,0.5465,46.9943,37.0,store,
