transaction_id,date,time,transaction_type,category,item_name,quantity,unit_price,total_amount,payment_method,customer_type,vendor_name,profit_margin_estimate
"T000001","2025-01-01","08:48:03","sale","coffee","Espresso","1","250","250","cash","regular",,"0.7"
"T000002","2025-01-01","15:36:45","sale","coffee","Cappuccino","2","400","800","card","regular",,"0.65"
"T000003","2025-01-01","20:34:59","sale","tea","Cardamom Tea","2","180","360","cash","new",,"0.6"
"T000004","2025-01-01","12:08:46","sale","coffee","Cappuccino","3","400","1200","card","new",,"0.65"
"T000005","2025-01-01","18:42:41","sale","coffee","Cappuccino","2","400","800","card","walk-in",,"0.65"
"T000006","2025-01-01","08:20:47","sale","tea","Green Tea","3","120","360","card","regular",,"0.65"
"T000007","2025-01-01","12:40:17","sale","coffee","Americano","1","300","300","card","regular",,"0.75"
"T000008","2025-01-01","10:19:46","sale","coffee","Latte","2","450","900","easypaisa","walk-in",,"0.65"
"T000009","2025-01-01","16:18:03","sale","dessert","Cookie","1","150","150","cash","walk-in",,"0.5"
"T000010","2025-01-01","14:38:59","sale","tea","Karak Chai","1","150","150","cash","regular",,"0.6"
"T000011","2025-01-01","12:41:19","sale","coffee","Americano","1","300","300","jazzcash","walk-in",,"0.75"
"T000012","2025-01-01","13:16:29","sale","tea","Karak Chai","4","150","600","cash","walk-in",,"0.6"
"T000013","2025-01-01","11:29:45","sale","coffee","Americano","2","300","600","card","walk-in",,"0.75"
"T000014","2025-01-02","09:46:13","sale","snacks","Fries","1","250","250","jazzcash","regular",,"0.5"
"T000015","2025-01-02","21:58:32","sale","dessert","Brownie","3","350","1050","cash","walk-in",,"0.5"
"T000016","2025-01-02","09:29:37","sale","tea","Cardamom Tea","1","180","180","cash","walk-in",,"0.6"
"T000017","2025-01-02","19:55:35","sale","snacks","Club Sandwich","3","550","1650","cash","walk-in",,"0.4"
"T000018","2025-01-02","08:41:35","sale","tea","Karak Chai","1","150","150","cash","walk-in",,"0.6"
"T000019","2025-01-02","11:24:38","sale","tea","Green Tea","1","120","120","card","new",,"0.65"
"T000020","2025-01-02","21:15:42","sale","tea","Green Tea","1","120","120","card","new",,"0.65"
"T000021","2025-01-02","16:52:02","sale","coffee","Cappuccino","1","400","400","cash","walk-in",,"0.65"
"T000022","2025-01-02","09:51:10","sale","tea","Karak Chai","1","150","150","card","new",,"0.6"
"T000023","2025-01-02","19:49:56","sale","dessert","Cheesecake Slice","2","600","1200","card","regular",,"0.45"
"T000024","2025-01-02","20:24:03","sale","coffee","Latte","3","450","1350","cash","walk-in",,"0.65"
"T000025","2025-01-02","08:25:10","sale","coffee","Latte","1","450","450","cash","walk-in",,"0.65"
"T000026","2025-01-02","08:10:53","sale","snacks","Chicken Sandwich","1","450","450","cash","walk-in",,"0.4"
"T000027","2025-01-02","16:09:34","sale","tea","Cardamom Tea","1","180","180","card","regular",,"0.6"
"T000028","2025-01-02","15:10:23","sale","coffee","Espresso","1","250","250","cash","walk-in",,"0.7"
"T000029","2025-01-02","09:26:17","sale","tea","Karak Chai","4","150","600","card","regular",,"0.6"
"T000030","2025-01-03","10:49:26","sale","coffee","Americano","3","300","900","easypaisa","new",,"0.75"
"T000031","2025-01-03","13:22:54","sale","coffee","Americano","2","300","600","cash","walk-in",,"0.75"
"T000032","2025-01-03","13:00:10","sale","tea","Green Tea","3","120","360","card","walk-in",,"0.65"
"T000033","2025-01-03","11:39:59","sale","dessert","Cookie","1","150","150","card","regular",,"0.5"
"T000034","2025-01-03","08:08:10","sale","snacks","Chicken Sandwich","3","450","1350","cash","walk-in",,"0.4"
"T000035","2025-01-03","20:23:27","sale","dessert","Cookie","2","150","300","cash","regular",,"0.5"
"T000036","2025-01-03","11:36:19","sale","coffee","Cappuccino","3","400","1200","cash","regular",,"0.65"
"T000037","2025-01-03","10:30:30","sale","dessert","Brownie","1","350","350","card","walk-in",,"0.5"
"T000038","2025-01-03","21:31:46","sale","snacks","Club Sandwich","1","550","550","card","regular",,"0.4"
"T000039","2025-01-03","11:11:05","sale","coffee","Latte","1","450","450","card","regular",,"0.65"
"T000040","2025-01-03","21:20:53","sale","snacks","Chicken Sandwich","2","450","900","card","walk-in",,"0.4"
"T000041","2025-01-04","17:24:30","sale","tea","Green Tea","1","120","120","cash","walk-in",,"0.65"
"T000042","2025-01-04","20:40:18","sale","coffee","Americano","2","300","600","card","walk-in",,"0.75"
"T000043","2025-01-04","18:42:05","sale","coffee","Americano","1","300","300","card","regular",,"0.75"
"T000044","2025-01-04","19:54:49","sale","snacks","Fries","1","250","250","cash","regular",,"0.5"
"T000045","2025-01-04","16:03:53","sale","coffee","Cappuccino","3","400","1200","cash","new",,"0.65"
"T000046","2025-01-04","17:19:34","sale","snacks","Club Sandwich","1","550","550","card","walk-in",,"0.4"
"T000047","2025-01-04","21:53:31","sale","snacks","Fries","1","250","250","card","walk-in",,"0.5"
"T000048","2025-01-04","10:21:41","sale","snacks","Club Sandwich","4","550","2200","jazzcash","walk-in",,"0.4"
"T000049","2025-01-04","11:02:37","sale","tea","Green Tea","1","120","120","card","walk-in",,"0.65"
"T000050","2025-01-04","20:22:49","sale","tea","Karak Chai","4","150","600","card","walk-in",,"0.6"
"T000051","2025-01-04","18:31:27","sale","coffee","Latte","1","450","450","cash","walk-in",,"0.65"
"T000052","2025-01-04","18:48:46","sale","coffee","Americano","1","300","300","bank_transfer","walk-in",,"0.75"
"T000053","2025-01-04","08:50:10","sale","tea","Cardamom Tea","2","180","360","card","walk-in",,"0.6"
"T000054","2025-01-04","18:14:01","sale","coffee","Americano","3","300","900","cash","regular",,"0.75"
"T000055","2025-01-04","11:18:43","sale","coffee","Cappuccino","2","400","800","cash","walk-in",,"0.65"
"T000056","2025-01-04","10:27:05","sale","coffee","Cappuccino","1","400","400","card","walk-in",,"0.65"
"T000057","2025-01-04","08:40:28","sale","coffee","Americano","1","300","300","cash","walk-in",,"0.75"
"T000058","2025-01-04","16:01:25","sale","coffee","Americano","1","300","300","card","regular",,"0.75"
"T000059","2025-01-04","10:06:39","sale","coffee","Cappuccino","1","400","400","bank_transfer","new",,"0.65"
"T000060","2025-01-04","10:39:46","sale","snacks","Chicken Sandwich","2","450","900","bank_transfer","regular",,"0.4"
"T000061","2025-01-04","12:27:49","sale","dessert","Cheesecake Slice","2","600","1200","cash","new",,"0.45"
"T000062","2025-01-04","11:00:15","sale","coffee","Espresso","2","250","500","cash","walk-in",,"0.7"
"T000063","2025-01-04","08:35:07","sale","dessert","Brownie","1","350","350","cash","regular",,"0.5"
"T000064","2025-01-05","20:46:14","sale","coffee","Americano","2","300","600","cash","walk-in",,"0.75"
"T000065","2025-01-05","08:55:01","sale","coffee","Cappuccino","2","400","800","cash","regular",,"0.65"
"T000066","2025-01-05","11:12:34","sale","tea","Green Tea","4","120","480","jazzcash","regular",,"0.65"
"T000067","2025-01-05","10:31:03","sale","coffee","Latte","1","450","450","easypaisa","walk-in",,"0.65"
"T000068","2025-01-05","15:58:46","sale","snacks","Chicken Sandwich","1","450","450","card","regular",,"0.4"
"T000069","2025-01-05","10:06:11","sale","dessert","Cookie","2","150","300","card","regular",,"0.5"
"T000070","2025-01-05","11:22:01","sale","coffee","Espresso","2","250","500","cash","walk-in",,"0.7"
"T000071","2025-01-05","18:38:41","sale","coffee","Cappuccino","1","400","400","bank_transfer","walk-in",,"0.65"
"T000072","2025-01-05","18:06:46","sale","tea","Cardamom Tea","1","180","180","card","regular",,"0.6"
"T000073","2025-01-05","14:03:31","sale","coffee","Americano","1","300","300","bank_transfer","walk-in",,"0.75"
"T000074","2025-01-05","08:29:49","sale","coffee","Cappuccino","1","400","400","easypaisa","walk-in",,"0.65"
"T000075","2025-01-05","19:50:20","sale","dessert","Brownie","2","350","700","card","walk-in",,"0.5"
"T000076","2025-01-05","13:00:44","sale","snacks","Club Sandwich","1","550","550","card","regular",,"0.4"
"T000077","2025-01-05","08:40:20","sale","coffee","Espresso","2","250","500","cash","walk-in",,"0.7"
"T000078","2025-01-05","08:30:31","sale","coffee","Americano","1","300","300","card","walk-in",,"0.75"
"T000079","2025-01-05","08:21:32","sale","coffee","Cappuccino","1","400","400","cash","walk-in",,"0.65"
"T000080","2025-01-05","09:57:40","sale","tea","Cardamom Tea","1","180","180","card","new",,"0.6"
"T000081","2025-01-05","16:15:50","sale","coffee","Latte","1","450","450","cash","walk-in",,"0.65"
"T000082","2025-01-05","10:08:53","sale","coffee","Cappuccino","1","400","400","card","walk-in",,"0.65"
"T000083","2025-01-05","20:03:20","sale","dessert","Brownie","1","350","350","easypaisa","new",,"0.5"
"T000084","2025-01-05","17:52:55","sale","coffee","Americano","2","300","600","cash","regular",,"0.75"
"T000085","2025-01-05","09:52:03","sale","coffee","Americano","4","300","1200","card","walk-in",,"0.75"
"T000086","2025-01-05","12:59:16","sale","tea","Karak Chai","3","150","450","card","walk-in",,"0.6"
"T000087","2025-01-05","20:08:13","sale","dessert","Brownie","1","350","350","cash","regular",,"0.5"
"T000088","2025-01-05","21:23:38","sale","dessert","Brownie","1","350","350","jazzcash","walk-in",,"0.5"
"T000089","2025-01-05","10:36:18","sale","dessert","Cheesecake Slice","1","600","600","cash","new",,"0.45"
"T000090","2025-01-05","10:02:12","sale","dessert","Cheesecake Slice","1","600","600","cash","new",,"0.45"
"T000091","2025-01-05","10:36:28","sale","tea","Green Tea","3","120","360","easypaisa","walk-in",,"0.65"
"T000092","2025-01-05","08:17:41","sale","coffee","Cappuccino","2","400","800","cash","walk-in",,"0.65"
"T000093","2025-01-05","18:23:49","sale","coffee","Latte","1","450","450","cash","walk-in",,"0.65"
"T000094","2025-01-05","10:00:00","expense","rent",,"1","150000","150000","bank_transfer",,"Gulberg Real Estate",
"T000095","2025-01-06","19:06:29","sale","tea","Green Tea","1","120","120","card","regular",,"0.65"
"T000096","2025-01-06","19:53:24","sale","snacks","Chicken Sandwich","1","450","450","cash","walk-in",,"0.4"
"T000097","2025-01-06","11:24:07","sale","dessert","Cheesecake Slice","1","600","600","card","regular",,"0.45"
"T000098","2025-01-06","17:27:37","sale","dessert","Cookie","1","150","150","cash","walk-in",,"0.5"
"T000099","2025-01-06","09:35:03","sale","snacks","Club Sandwich","1","550","550","cash","new",,"0.4"
"T000100","2025-01-06","08:37:29","sale","tea","Green Tea","1","120","120","jazzcash","walk-in",,"0.65"
"T000101","2025-01-06","13:20:34","sale","tea","Cardamom Tea","1","180","180","card","regular",,"0.6"
"T000102","2025-01-06","18:01:34","sale","coffee","Cappuccino","1","400","400","card","walk-in",,"0.65"
"T000103","2025-01-06","13:41:06","sale","dessert","Cheesecake Slice","1","600","600","cash","regular",,"0.45"
"T000104","2025-01-06","12:01:13","sale","dessert","Cookie","1","150","150","bank_transfer","new",,"0.5"
"T000105","2025-01-06","17:34:53","sale","snacks","Chicken Sandwich","3","450","1350","card","regular",,"0.4"
"T000106","2025-01-06","12:22:08","sale","dessert","Brownie","2","350","700","cash","regular",,"0.5"
"T000107","2025-01-06","17:52:52","sale","dessert","Cookie","2","150","300","card","regular",,"0.5"
"T000108","2025-01-06","17:45:22","sale","snacks","Fries","2","250","500","card","new",,"0.5"
"T000109","2025-01-06","10:08:28","sale","tea","Green Tea","2","120","240","easypaisa","regular",,"0.65"
"T000110","2025-01-06","18:15:01","sale","dessert","Cheesecake Slice","1","600","600","cash","walk-in",,"0.45"
"T000111","2025-01-06","20:00:28","sale","tea","Green Tea","2","120","240","cash","walk-in",,"0.65"
"T000112","2025-01-06","14:41:29","sale","snacks","Club Sandwich","1","550","550","jazzcash","walk-in",,"0.4"
"T000113","2025-01-06","09:46:08","sale","dessert","Cookie","1","150","150","card","walk-in",,"0.5"
"T000114","2025-01-06","11:02:11","sale","coffee","Latte","2","450","900","cash","walk-in",,"0.65"
"T000115","2025-01-06","09:00:00","expense","supplies",,"1","85000","85000","cash",,"Local Roaster & Bakery",
"T000116","2025-01-07","10:16:05","sale","coffee","Espresso","1","250","250","cash","new",,"0.7"
"T000117","2025-01-07","11:23:03","sale","coffee","Cappuccino","1","400","400","card","walk-in",,"0.65"
"T000118","2025-01-07","21:45:49","sale","dessert","Cheesecake Slice","1","600","600","cash","walk-in",,"0.45"
"T000119","2025-01-07","18:25:43","sale","tea","Karak Chai","1","150","150","card","walk-in",,"0.6"
"T000120","2025-01-07","21:49:54","sale","coffee","Americano","1","300","300","cash","regular",,"0.75"
"T000121","2025-01-07","10:56:38","sale","coffee","Americano","2","300","600","card","walk-in",,"0.75"
"T000122","2025-01-07","09:18:48","sale","coffee","Latte","2","450","900","cash","walk-in",,"0.65"
"T000123","2025-01-07","20:59:24","sale","coffee","Cappuccino","3","400","1200","easypaisa","regular",,"0.65"
"T000124","2025-01-07","17:30:52","sale","tea","Karak Chai","1","150","150","cash","walk-in",,"0.6"
"T000125","2025-01-07","10:22:49","sale","coffee","Americano","2","300","600","cash","walk-in",,"0.75"
"T000126","2025-01-07","21:17:04","sale","snacks","Fries","2","250","500","easypaisa","walk-in",,"0.5"
"T000127","2025-01-07","17:29:56","sale","coffee","Americano","1","300","300","cash","walk-in",,"0.75"
"T000128","2025-01-07","14:02:32","sale","dessert","Cookie","1","150","150","cash","new",,"0.5"
"T000129","2025-01-07","21:01:50","sale","coffee","Latte","1","450","450","cash","walk-in",,"0.65"
"T000130","2025-01-07","21:27:33","sale","tea","Karak Chai","1","150","150","cash","regular",,"0.6"
"T000131","2025-01-07","11:47:07","sale","tea","Green Tea","2","120","240","card","regular",,"0.65"
"T000132","2025-01-07","14:07:50","sale","snacks","Chicken Sandwich","1","450","450","card","walk-in",,"0.4"
"T000133","2025-01-07","19:17:28","sale","tea","Green Tea","1","120","120","jazzcash","regular",,"0.65"
"T000134","2025-01-07","19:55:24","sale","snacks","Chicken Sandwich","3","450","1350","cash","walk-in",,"0.4"
"T000135","2025-01-07","14:06:53","sale","coffee","Cappuccino","1","400","400","cash","walk-in",,"0.65"
"T000136","2025-01-07","20:22:42","sale","coffee","Latte","2","450","900","jazzcash","walk-in",,"0.65"
"T000137","2025-01-07","16:27:34","sale","snacks","Fries","3","250","750","jazzcash","walk-in",,"0.5"
"T000138","2025-01-07","17:48:54","sale","snacks","Club Sandwich","1","550","550","card","regular",,"0.4"
"T000139","2025-01-07","13:36:50","sale","coffee","Americano","2","300","600","cash","new",,"0.75"
